Code,Airport
AYQ,Ayers Rock Connellan Airport
AYR,Ayr Airport
AYS,Waycross Ware County Airport
AYT,Antalya International Airport
AYU,Aiyura Airport
AYW,Ayawasi Airport
AYY,Arugam Bay SPB
AYZ,Zahn's Airport
AZA,Phoenix-Mesa-Gateway Airport
AZB,Amazon Bay Airport
AZD,Shahid Sadooghi Airport
AZG,Pablo L. Sidar Airport
AZI,Bateen Airport
AZL,Fazenda Tucunar?? Airport
AZN,Andizhan Airport
AZO,Kalamazoo Battle Creek International Airport
AZP,Atizapan De Zaragoza Airport
AZR,Touat Cheikh Sidi Mohamed Belkebir Airport
AZS,Saman?­ El Catey International Airport
AZT,Zapatoca Airport
AZZ,Ambriz Airport
BAA,Bialla Airport
BAB,Beale Air Force Base
BAC,Barranca De Upia Airport
BAD,Barksdale Air Force Base
BAE,Barcelonnette - Saint-Pons Airport
BAF,Westfield-Barnes Regional Airport
BAG,Loakan Airport
BAH,Bahrain International Airport
BAI,Buenos Aires Airport
BAJ,Bali Airport
BAL,Batman Airport
BAM,Battle Mountain Airport
BAN,Basongo Airport
BAO,Udorn Air Base
BAP,Baibara Airport
BAQ,Ernesto Cortissoz International Airport
BAR,Qionghai Bo'ao Airport
BAS,Ballalae Airport
BAT,Chafei Amsei Airport
BAU,Bauru Airport
BAV,Baotou Airport
BAX,Barnaul Airport
BAY,Maramure?? International Airport
BAZ,Barcelos Airport
BBA,Balmaceda Airport
BBB,Benson Municipal Airport
BBC,Bay City Municipal Airport
BBD,Curtis Field
BBE,Big Bell Airport
BBG,Butaritari Atoll Airport
BBH,Barth Airport
BBI,Biju Patnaik Airport
BBJ,Bitburg Airport
BBK,Kasane Airport
BBL,Ballera Airport
BBM,Battambang Airport
BBN,Bario Airport
BBO,Berbera Airport
BBP,Bembridge Airport
BBQ,Codrington Airport
BBR,Baillif Airport
BBS,Blackbushe Airport
BBT,Berb??rati Airport
BBU,BŽŸneasa International Airport
BBV,Nero-Mer Airport
BBW,Broken Bow Municipal Airport
BBX,Wings Field
BBY,Bambari Airport
BBZ,Zambezi Airport
BCA,Gustavo Rizo Airport
BCB,Virginia Tech Montgomery Executive Airport
BCC,Bear Creek 3 Airport
BCD,Bacolod-Silay Airport
BCE,Bryce Canyon Airport
BCF,Bouca Airport
BCG,Bemichi Airport
BCH,Cakung Airport
BCI,Barcaldine Airport
BCJ,Baca Grande Airfield
BCK,Bolwarra Airport
BCL,Barra del Colorado Airport
BCM,BacŽŸu Airport
BCN,Barcelona International Airport
BCO,Baco Airport
BCP,Bambu Airport
BCQ,Brak Airport
BCR,Novo Campo Airport
BCS,Southern Seaplane Airport
BCT,Boca Raton Airport
BCU,Sir Abubakar Tafawa Balewa International Airport
BCV,Hector Silva Airstrip
BCW,Benguera Island Airport
BCX,Beloretsk Airport
BCZ,Milyakburra Airport
BDA,L.F. Wade International International Airport
BDB,Bundaberg Airport
BDC,Barra do Corda Airport
BDD,Badu Island Airport
BDE,Baudette International Airport
BDF,Rinkenberger Restricted Landing Area
BDG,Blanding Municipal Airport
BDH,Bandar Lengeh Airport
BDI,Bird Island Airport
BDJ,Syamsudin Noor Airport
BDK,Soko Airport
BDL,Bradley International Airport
BDM,BandŽñrma Airport
BDN,Talhar Airport
BDO,Husein Sastranegara International Airport
BDP,Bhadrapur Airport
BDQ,Vadodara Airport
BDR,Igor I Sikorsky Memorial Airport
BDS,Brindisi ƒ?? Salento Airport
BDT,Gbadolite Airport
BDU,Bardufoss Airport
BDV,Moba Airport
BDW,Bedford Downs Airport
BDX,Broadus Airport
BDY,Bandon State Airport
BDZ,Baindoung Airport
BEA,Bereina Airport
BEB,Benbecula Airport
BEC,Beech Factory Airport
BED,Laurence G Hanscom Field
BEE,Beagle Bay Airport
BEF,Bluefields Airport
BEG,Belgrade Nikola Tesla Airport
BEH,Southwest Michigan Regional Airport
BEI,Beica Airport
BEJ,Kalimarau Airport
BEK,Bareilly Air Force Station
BEL,Val de Cans/J?§lio Cezar Ribeiro International Airport
BEM,Beni Mellal Airport
BEN,Benina International Airport
BEO,Lake Macquarie Airport
BEP,Bellary Airport
BEQ,RAF Honington
BER,Berlin Brandenburg Airport (U.C.)
BES,Brest Bretagne Airport
BET,Bethel Airport
BEU,Bedourie Airport
BEV,Beersheba (Teyman) Airport
BEW,Beira Airport
BEX,RAF Benson
BEY,Beirut Rafic Hariri International Airport
BEZ,Beru Airport
BFA,Bah??a Negra Airport
BFC,Bloomfield River Airport
BFD,Bradford Regional Airport
BFE,Bielefeld Airport
BFF,Western Neb. Rgnl/William B. Heilig Airport
BFG,Bullfrog Basin Airport
BFH,Bacacheri Airport
BFI,Boeing Field King County International Airport
BFJ,Bijie Feixiong Airport
BFK,Buckley Air Force Base
BFL,Meadows Field
